id,hhb,hbo2,ca,na
10000,8.603800000000001,4.073,9.762500000000005,3.0536999999999987
10001,5.949599999999997,4.017000000000001,8.678500000000001,2.5971
10002,10.349299999999996,4.342999999999999,9.694400000000002,3.725000000000002
10003,8.591100000000003,4.1587,10.0713,3.4509
10004,7.862000000000002,3.592799999999997,9.779300000000001,2.8987999999999987
10005,8.399000000000004,4.098199999999999,9.823699999999995,3.130499999999999
10006,5.799799999999999,3.873099999999998,7.3382999999999985,2.9331000000000005
10007,7.6481,4.216300000000002,8.9273,3.3054000000000014
10008,6.656699999999998,4.2422999999999975,8.366799999999994,3.114
10009,8.364900000000006,4.270600000000001,8.990300000000001,3.433500000000001
10010,9.363000000000003,4.120100000000001,8.7891,3.6475000000000004
10011,7.931100000000002,3.8305000000000025,6.7296,3.274199999999999
10012,8.58649999999999,4.35,7.317899999999994,2.887300000000002
10013,7.474299999999999,3.758700000000002,9.021600000000005,2.9922000000000013
10014,8.953899999999997,4.067699999999999,8.5944,2.6009999999999995
10015,5.289700000000005,3.599100000000001,8.2604,3.0441000000000003
10016,9.073099999999997,4.0898,7.873099999999995,3.3905999999999987
10017,8.3799,3.8108000000000004,10.242300000000002,2.8689999999999993
10018,10.647799999999997,4.103799999999999,8.630499999999998,3.372500000000001
10019,6.5412,3.999799999999999,7.748699999999999,2.569300000000001
10020,7.640699999999997,4.398899999999999,9.798599999999997,3.002300000000001
10021,10.0485,4.312,9.938500000000003,2.894499999999998
10022,11.220500000000001,4.339699999999999,9.927800000000001,3.127699999999999
10023,9.035599999999999,4.031300000000002,9.453999999999997,3.746800000000001
10024,7.937899999999997,3.985499999999998,9.753799999999995,3.2588000000000013
10025,10.360299999999997,4.4717,8.6736,2.9216999999999995
10026,8.603999999999992,3.9532999999999987,8.1527,3.1726
10027,8.376,3.861500000000001,9.861199999999998,3.0993000000000017
10028,4.594900000000002,3.6759000000000013,8.475999999999994,3.086399999999999
10029,7.551900000000002,4.035900000000001,9.523999999999997,3.0002000000000013
10030,4.0306,3.3182,7.873399999999999,3.1662999999999983
10031,6.4937999999999985,3.9651,8.901599999999997,3.5380000000000007
10032,11.831900000000001,4.187399999999999,9.653699999999997,3.2071999999999985
10033,8.414599999999998,4.051500000000001,8.993500000000003,2.9000000000000004
10034,9.9783,4.1456,10.5077,3.180799999999999
10035,5.914199999999999,3.630999999999999,8.764199999999999,3.465299999999999
10036,9.027800000000001,4.195800000000002,8.441200000000002,3.583600000000002
10037,6.4731,3.6965000000000003,8.673099999999996,2.8426
10038,9.248700000000003,4.1854000000000005,9.1752,3.1616000000000004
10039,9.205400000000001,3.8608999999999996,9.6688,3.1254000000000004
10040,3.653900000000001,3.973499999999999,8.7493,2.9586
10041,7.808299999999999,4.047,9.466800000000001,3.478900000000001
10042,9.094100000000001,4.240800000000002,10.4169,3.5340000000000003
10043,9.179300000000001,4.241599999999998,9.617200000000002,3.6348000000000003
10044,8.253400000000003,3.9927000000000006,9.3681,2.7972
10045,8.481400000000002,4.373500000000001,9.956400000000004,2.8947999999999996
10046,8.186200000000005,4.2119,9.651,3.3057999999999987
10047,6.704499999999997,4.033100000000001,9.5753,3.537500000000001
10048,7.119,4.127000000000001,7.465799999999997,2.9678000000000004
10049,7.370800000000004,4.071599999999999,9.387899999999998,2.5380999999999987
10050,6.9862,3.9507999999999988,9.7435,2.1531000000000002
10051,9.268000000000002,4.2856,8.885600000000002,3.311200000000001
10052,8.4056,3.9446999999999997,11.025300000000005,2.8900999999999994
10053,6.815800000000001,4.0498,8.568599999999998,2.558499999999999
10054,8.796700000000001,4.0259,9.4151,3.1094
10055,7.331400000000001,3.765600000000002,9.281199999999998,3.5799000000000003
10056,8.381599999999999,4.2479000000000005,9.08,3.3166000000000007
10057,9.571800000000003,3.8749999999999996,9.3325,3.0727
10058,9.691200000000002,4.358700000000001,9.6374,2.7538
10059,7.143200000000002,3.8275000000000006,8.411200000000001,3.4501
10060,9.3066,3.9630999999999985,8.809899999999997,2.7118
10061,7.0082,4.093900000000002,9.675500000000005,2.4974999999999996
10062,6.449800000000002,3.7988999999999993,8.738200000000004,3.513599999999999
10063,7.530000000000006,4.0889000000000015,9.124799999999999,2.894
10064,8.507800000000003,4.029100000000001,9.1302,3.4821999999999993
10065,9.122299999999997,4.0404,8.732500000000002,2.821999999999999
10066,8.536500000000004,4.1339000000000015,10.073,3.3435999999999977
10067,7.3672999999999975,3.822800000000002,7.901200000000005,2.6551999999999993
10068,8.785699999999999,3.9316000000000013,9.372999999999998,3.2884999999999986
10069,10.3001,4.286500000000002,11.123,3.2817000000000025
10070,7.505300000000002,3.8685999999999985,9.7693,3.4844000000000026
10071,1.9387,3.909100000000001,7.705600000000001,2.6439999999999992
10072,9.285200000000001,4.385700000000001,10.146600000000001,3.303900000000001
10073,7.0275000000000025,3.8628000000000005,9.187499999999998,3.0885000000000002
10074,9.016699999999998,4.042199999999999,9.475100000000001,3.141900000000001
10075,8.923199999999998,3.9684999999999997,10.558800000000002,2.5165
10076,9.0305,3.7419999999999987,9.6103,2.6323000000000008
